ticker,intervalo,tipo_padrao,data_inicio,ombro1_preco,neckline1_idx,neckline1_preco,data_cabeca,cabeca_preco,neckline2_idx,neckline2_preco,data_fim,ombro2_preco,label_humano
BTC-USD,15m,OCO,2025-05-21 06:30:00,107994.7265625,2025-05-21 09:45:00,106141.8671875,2025-05-21 14:45:00,108905.28125,2025-05-21 17:45:00,106246.859375,2025-05-21 19:30:00,108358.375,0.0
BTC-USD,15m,OCOI,2025-05-30 16:45:00,103726.5859375,2025-05-30 19:00:00,104964.078125,2025-05-31 03:15:00,103185.2109375,2025-05-31 21:30:00,104927.1015625,2025-06-01 09:45:00,103836.921875,1.0
BTC-USD,15m,OCO,2025-06-13 16:15:00,105993.2265625,2025-06-13 18:30:00,104716.9765625,2025-06-14 00:45:00,106200.0,2025-06-14 20:15:00,104415.859375,2025-06-15 06:00:00,106114.59375,1.0
BTC-USD,1h,OCOI,2023-11-09 17:00:00,36014.95703125,2023-11-10 23:00:00,37493.80078125,2023-11-14 18:00:00,34948.5,2023-11-15 18:00:00,37446.6015625,2023-11-16 19:00:00,35545.47265625,
BTC-USD,1h,OCOI,2023-12-25 00:00:00,42765.76953125,2023-12-25 13:00:00,43765.09375,2023-12-26 17:00:00,41676.48828125,2023-12-28 00:00:00,43804.78125,2023-12-29 01:00:00,42216.6875,
BTC-USD,1h,OCOI,2024-01-31 11:00:00,42356.31640625,2024-01-31 18:00:00,43717.40625,2024-02-01 01:00:00,41879.19140625,2024-02-02 16:00:00,43422.48828125,2024-02-05 01:00:00,42264.81640625,
BTC-USD,1h,OCOI,2024-02-15 22:00:00,51371.62890625,2024-02-16 14:00:00,52537.96875,2024-02-17 14:00:00,50669.66796875,2024-02-19 07:00:00,52483.32421875,2024-02-20 01:00:00,51334.234375,
BTC-USD,1h,OCOI,2024-03-26 14:00:00,69405.4140625,2024-03-27 13:00:00,71650.46875,2024-03-27 18:00:00,68390.4609375,2024-03-28 14:00:00,71538.9921875,2024-03-29 15:00:00,69140.4765625,
BTC-USD,1h,OCOI,2024-12-02 10:00:00,94862.109375,2024-12-02 16:00:00,97382.3515625,2024-12-03 14:00:00,93645.6328125,2024-12-04 09:00:00,97016.8984375,2024-12-04 16:00:00,94741.984375,
BTC-USD,1h,OCOI,2025-02-13 16:00:00,95294.9765625,2025-02-14 17:00:00,98803.4921875,2025-02-18 19:00:00,93410.84375,2025-02-21 13:00:00,99473.7265625,2025-02-21 20:00:00,94918.8359375,
BTC-USD,1h,OCO,2025-04-01 10:00:00,84468.9921875,2025-04-01 14:00:00,82620.53125,2025-04-02 20:00:00,87806.703125,2025-04-03 00:00:00,82220.53125,2025-04-04 10:00:00,84657.0390625,
BTC-USD,1h,OCOI,2025-05-18 20:00:00,103439.890625,2025-05-19 00:00:00,107038.7890625,2025-05-19 06:00:00,102112.6875,2025-05-20 02:00:00,106793.4296875,2025-05-20 13:00:00,104206.515625,
BTC-USD,4h,OCO,2023-12-19 00:00:00,43354.296875,2023-12-19 16:00:00,41826.3359375,2023-12-22 04:00:00,44367.95703125,2023-12-26 16:00:00,41676.48828125,2023-12-28 00:00:00,43804.78125,
BTC-USD,4h,OCO,2024-05-30 16:00:00,69494.453125,2024-05-31 16:00:00,66658.6328125,2024-06-07 12:00:00,71907.8515625,2024-06-11 12:00:00,66123.6015625,2024-06-12 12:00:00,69977.890625,
BTC-USD,4h,OCOI,2025-03-09 20:00:00,80052.484375,2025-03-10 12:00:00,83740.6640625,2025-03-11 00:00:00,76653.53125,2025-03-12 12:00:00,84230.234375,2025-03-13 16:00:00,79932.3515625,
BTC-USD,1d,OCO,2023-05-29 00:00:00,28432.0390625,2023-06-15 00:00:00,24797.16796875,2023-07-13 00:00:00,31814.515625,2023-08-17 00:00:00,25409.111328125,2023-08-29 00:00:00,28089.337890625,
ETH-USD,15m,OCO,2025-05-21 01:30:00,2547.53955078125,2025-05-21 02:00:00,2515.89697265625,2025-05-21 05:15:00,2592.052734375,2025-05-21 10:15:00,2517.413818359375,2025-05-21 11:15:00,2554.234130859375,
ETH-USD,15m,OCOI,2025-05-25 00:30:00,2487.096923828125,2025-05-25 03:30:00,2519.705078125,2025-05-25 08:45:00,2471.86279296875,2025-05-25 13:30:00,2522.986572265625,2025-05-25 15:15:00,2481.400390625,
ETH-USD,15m,OCO,2025-05-28 04:45:00,2651.646240234375,2025-05-28 10:00:00,2616.070068359375,2025-05-28 13:30:00,2686.291748046875,2025-05-28 15:00:00,2618.232421875,2025-05-28 17:00:00,2661.795654296875,
ETH-USD,15m,OCO,2025-06-04 10:15:00,2650.0703125,2025-06-04 14:00:00,2597.82421875,2025-06-04 15:45:00,2677.42529296875,2025-06-04 21:00:00,2602.11328125,2025-06-05 04:30:00,2633.9033203125,
ETH-USD,15m,OCOI,2025-06-08 10:15:00,2494.18115234375,2025-06-08 21:45:00,2546.244384765625,2025-06-09 06:00:00,2480.493408203125,2025-06-09 12:45:00,2548.1064453125,2025-06-09 13:45:00,2513.25146484375,
ETH-USD,15m,OCO,2025-06-11 12:30:00,2820.13916015625,2025-06-11 13:30:00,2789.7666015625,2025-06-11 15:30:00,2876.94677734375,2025-06-11 20:00:00,2790.833984375,2025-06-11 21:15:00,2830.678955078125,
ETH-USD,15m,OCO,2025-06-13 12:30:00,2562.9150390625,2025-06-13 14:30:00,2509.07568359375,2025-06-13 16:15:00,2584.031494140625,2025-06-13 18:30:00,2511.638427734375,2025-06-13 23:45:00,2582.732177734375,
ETH-USD,15m,OCOI,2025-06-15 09:45:00,2510.700439453125,2025-06-15 17:45:00,2557.79541015625,2025-06-15 20:30:00,2493.260498046875,2025-06-16 00:15:00,2552.201171875,2025-06-16 01:30:00,2518.221435546875,
ETH-USD,15m,OCOI,2025-06-21 21:30:00,2251.8388671875,2025-06-21 22:15:00,2307.068603515625,2025-06-21 23:30:00,2228.645751953125,2025-06-22 00:00:00,2312.005126953125,2025-06-22 02:30:00,2256.138427734375,
ETH-USD,15m,OCOI,2025-06-24 02:15:00,2393.195068359375,2025-06-24 06:45:00,2434.79052734375,2025-06-24 08:15:00,2382.3984375,2025-06-24 09:15:00,2441.024658203125,2025-06-24 11:15:00,2400.923583984375,
ETH-USD,15m,OCOI,2025-06-25 09:45:00,2413.380126953125,2025-06-25 13:45:00,2444.54052734375,2025-06-25 14:15:00,2399.76171875,2025-06-25 14:45:00,2440.64453125,2025-06-25 15:30:00,2400.406494140625,
ETH-USD,15m,OCOI,2025-06-26 15:30:00,2411.265380859375,2025-06-26 20:30:00,2457.1474609375,2025-06-26 21:30:00,2401.45703125,2025-06-27 09:45:00,2462.02099609375,2025-06-27 14:30:00,2418.003173828125,
ETH-USD,15m,OCO,2025-07-03 09:45:00,2615.81396484375,2025-07-03 12:30:00,2569.75390625,2025-07-03 13:45:00,2632.811767578125,2025-07-03 16:15:00,2569.77294921875,2025-07-03 21:00:00,2603.314208984375,
ETH-USD,15m,OCOI,2025-07-11 11:45:00,2971.633544921875,2025-07-11 13:45:00,3005.06103515625,2025-07-11 15:45:00,2945.164306640625,2025-07-11 19:15:00,3010.25537109375,2025-07-11 21:30:00,2966.96435546875,
ETH-USD,15m,OCO,2025-07-14 09:30:00,3066.537353515625,2025-07-14 10:00:00,3032.51025390625,2025-07-14 11:00:00,3079.44091796875,2025-07-14 13:30:00,3035.09912109375,2025-07-14 14:00:00,3065.478759765625,
ETH-USD,1h,OCOI,2023-08-18 17:00:00,1644.930908203125,2023-08-19 16:00:00,1693.2281494140625,2023-08-22 21:00:00,1596.384033203125,2023-08-23 19:00:00,1696.593994140625,2023-08-28 09:00:00,1627.44677734375,
ETH-USD,1h,OCO,2023-11-22 21:00:00,2089.51416015625,2023-11-23 15:00:00,2041.4642333984373,2023-11-24 15:00:00,2132.481201171875,2023-11-26 16:00:00,2038.6004638671875,2023-11-26 20:00:00,2080.96142578125,
